comments,candidate,cleaned_comments
"The Judiciary should make it's own appointees if it's going to remain truly independent. Can't make the head of the executive making such appointments, it's counter productive .",Bawumia,judiciary make appointee going remain truly independent make head executive making appointment counter productive
What's the work of Justices of the Supreme Court? Can someone help me with that,Bawumia,work justice supreme court someone help
More criminals joined the gang of thieves,Bawumia,criminal joined gang thief
this is tha reason why Bawumia is educating us bout going to court if ……,Bawumia,tha reason bawumia educating u bout going court
Those lots can't save his sorry arse when the trumpet of accountability is blown,Bawumia,lot save sorry arse trumpet accountability blown
wa.me/message/ZB46RV,Bawumia,wa message zb rv
Parking them to do their master's job soon,Bawumia,parking master job soon
Obviously.,Bawumia,obviously
Why did you add a laughing emoji,Bawumia,add laughing emoji
7-Dec,Bawumia,dec
"Sergio Ramos, Kepler Lima (Pepe), Arbeloa.",Bawumia,sergio ramos kepler lima pepe arbeloa
Last badge to eat some of the national cake before he leaves,Bawumia,last badge eat national cake leaf
"Criminals 
  That's why they asking of court resolutions of 2024 elections right
  Him and his zero minded vice president should not try us and our destiny",Bawumia,criminal asking court resolution election right zero minded vice president try u destiny
"Hmm God is the most high judge
  Keep deceiving yourself",Bawumia,hmm god high judge keep deceiving
"Until he himself get sworn in, the bench still no full for him",Bawumia,get sworn bench still full
More back up. Solidified!,Bawumia,back solidified
So this is the reason why Bawumia put all his hope in the court l see,Bawumia,reason bawumia put hope court see
He can employ people but election disputes will be settled at the polling station.,Bawumia,employ people election dispute settled polling station
"That's why Bawumia put all his hope in the courts haha 
  
  By the way, this is what 3084 Ghanaians think.",Bawumia,bawumia put hope court haha way ghanaians think
How many so far?,Bawumia,many far
Let the President give us a new year address,Bawumia,let president give u new year address
ahh everything dey okay??,Bawumia,ahh everything dey okay
If I speak,Bawumia,speak
"A country where 120 medical students are admitted but trillion law students, what are these lawyers adding to the growth of the economy.",Bawumia,country medical student admitted trillion law student lawyer adding growth economy
Forgive me but I think things needs to be changed. Especially The power for the president to swear in justice.,Bawumia,forgive think thing need changed especially power president swear justice
You Gerrit......,Bawumia,gerrit
Isn't it time for there to be a cap to supreme Court appointments?,Bawumia,time cap supreme court appointment
"Strategy. If the election goes to court, he has secured there too.
  
  He said "" i will use the rest of my days as President to help",Bawumia,strategy election go court secured said use rest day president help
Lols if he likes he should swear in his entire family members as judges 7th Dec he will exit power and Bawumia can never be Ghana president,Bawumia,lols like swear entire family member judge th dec exit power bawumia never ghana president
"there's a hidden agenda to all this massive new swearing in of judges to the supreme court ,this short man will get what he's looking for ....nothing can make u break the 8 n nope,no one will resort to the justice system in case u rob",Bawumia,hidden agenda massive new swearing judge supreme court short man get looking nothing make break nope one resort justice system case rob
Ah isn't there a limit for these things? It's like he swears a batch in every 2 weeks,Bawumia,ah limit thing like swears batch every week
What does this old dude want,Bawumia,old dude want
Akuffo Addo will suffer forever,Bawumia,akuffo addo suffer forever
Has sworn in more Justices than fulfilled promises,Bawumia,sworn justice fulfilled promise
"Only a political fool will contest elections, loose and send it to the law court in Africa.",Bawumia,political fool contest election loose send law court africa
Always swearing in,Bawumia,always swearing
Ahead of election 2024. @NDC open your eyes wider ooo.,Bawumia,ahead election open eye wider ooo
don't sleep oooo,Bawumia,sleep oooo
"They know what they are doing,they think we will go to court in 2024 election,but we will not go to court koraaaa, everything will be completed at the polling station.
  Mudras",Bawumia,know think go court election go court koraaaa everything completed polling station mudra
this man is packing oo,Bawumia,man packing oo
On a daily…,Bawumia,daily
No wonder the lier Bawumia said all Elections disputes should be send to Supreme Court. He think his rigging machine with the EC Jean Mensah and the Supreme Court will save him. The people of Ghana are vigilant and will prevent any attempt of rigging the elections,Bawumia,wonder lier bawumia said election dispute send supreme court think rigging machine ec jean mensah supreme court save people ghana vigilant prevent attempt rigging election
He is putting in place thieves to ruke the election in their favour when it goes to court,Bawumia,putting place thief ruke election favour go court
He can swored in 2 million judges yet he go lose,Bawumia,swored million judge yet go lose
Another strategy to manipulate election. Wait for Ghanaians 2024,Bawumia,another strategy manipulate election wait ghanaians
"And Bawumia said if you're not satisfied with the elections, just go to court.",Bawumia,bawumia said satisfied election go court
"All in the quist to ensure
  He is truly cover 
  Even in the event of change of power 
  The PR job of the GBA n association won't work
  This system we can't trust",Bawumia,quist ensure truly cover even event change power pr job gba association work system trust
Ah na akwa wei what dey wrong am,Bawumia,ah na akwa wei dey wrong
The clock is ticking. Plan B be say plan A for work,Bawumia,clock ticking plan say plan work
"Ghana should do away with having so many lawyers and shift to engineers, doctors, technicians. What is this with law we're so enthusiast about. Because everyone wants to be a politician, apuu",Bawumia,ghana away many lawyer shift engineer doctor technician law enthusiast everyone want politician apuu
